title;description;url;image
#1 Todo App (CLI/GUI/Web);A distraction-free web app to help you focus on creating and completing tasks.;https://mykolakorbut-my-todo-app-web-todo-cwn9pf.streamlit.app/;1.png
#2 Portfolio Website; A website built entirely in Python to showcase coding projects and apps.;https://github.com/MykolaKorbut/portfolio;2.png
#3 Best Company Website (Streamlit); A template of website about a fake company.;https://github.com/MykolaKorbut/app3-best_company;3.png
#4.1 PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/MykolaKorbut/app4-pdf-template/tree/main;4.1.png
#4.2 PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/MykolaKorbut/pdf_invoices;4.2.png
#5 News Script (API);A script that gets data from a news API.;https://github.com/MykolaKorbut/app5-API/tree/main;5.png
#6 Weather API (Flask);A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/MykolaKorbut/app6-weather-api;6.png
#7 Weather Forecast;Weather forecast up to 5 days with visualization.;https://github.com/MykolaKorbut/app7-weather-forecast-data;7.png
#8 Book Analysis (NLP/Jupyter/RegEx);A program that analyses text with Regular Expressions.;https://github.com/MykolaKorbut/app8-book-analysis;8.png
#9 Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/MykolaKorbut/app9-email-webcam-detection;9.png
#10 Tour Scraper (Web Scraping);A program that checks a music band's website and sends an email when there are new tours.;https://github.com/MykolaKorbut/app10-scraper-tour-sql;10.png
#11 Hotel Booking (OOP);A program that provides a booking service.;https://github.com/MykolaKorbut/app11-hotel-booking;11.png
#14 Student Management System (MySQL);A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/MykolaKorbut/app14-student-management-system-mysql;14.png
#15 Browser Automation (Selenium);A program for logging in, filling out and downloading from the site automatically.;https://github.com/MykolaKorbut/app15-browser-automation-selenium;15.png
#16 Job Application (Flask);A program that getting user data from web app and storing them in database with email notifications.;https://github.com/MykolaKorbut/app16-Job-application-form;16.png
#17 Job Application (Django);A program that getting user data from web app and storing them in database with email notifications.;https://github.com/MykolaKorbut/app17-django-form;17.png
#18 Restaurant Menu Web App (Django);A Django web app to let customers see a restaurant menu and meal availability.;https://github.com/MykolaKorbut/app18-restaurant-menu;18.png
#19 Movie Recommendation System (DeepNote/Machine learning);Three Types of Recommendation Systems.;https://deepnote.com/workspace/note1-5c8d-00c2cfd0-9dbd-41e2-80d2-447dd6c2195f/project/Movie-Recommendation-System-19aa5249-b56c-41a1-b8ed-6446865b35b2/notebook/Notebook-1-afbc39c8039d4f9d9f76d2918643b9ba;19.png
#20 Excel to PDF Package (PyPi);This package can be used to convert Excel invoices to PDF invoices.;https://pypi.org/project/invoicing-pdf26/;20.png